id;name;instructions;democode;testcode;solution;tests;medianTime;ordering;visible;created
1;Výpis čísel;[["html","Napište funkci <b>numbers(n)</b>, která vypíše prvních <i>n</i> přirozených čísel. "]];[["python64","ZGVmIG51bWJlcnMobik6CiAgICBwcmludChuKQo="]];[["python64","bnVtYmVycygxMCkK"]];[["python64","ZGVmIG51bWJlcnMobik6CiAgICBmb3IgaSBpbiByYW5nZSgxLCBuICsgMSk6CiAgICAgICAgcHJpbnQoaSkKICAgIHByaW50KCkK"]];[["python64","bnVtYmVycygzKQo="],["python64","bnVtYmVycyg1KQo="],["python64","bnVtYmVycygyMCkK"]];93350;1;1;2017-11-21 18:17:19
2;Fibonacciho posloupnost;[["html","Napište funkci <b>fibonacci(n)</b>, která vypíše prvních <i>n</i> členů Fibonacciho posloupnosti (první dva členy jsou 1, každý další je součtem dvou předchozích). "]];[["python64","ZGVmIGZpYm9uYWNjaShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgCXByaW50KGkpCg=="]];[["python64","Zmlib25hY2NpKDEwKQo="]];[["python64","ZGVmIGZpYm9uYWNjaShuKToKICAgIGN1cnJlbnQgPSAxCiAgICBuZXh0ID0gMQogICAgZm9yIGkgaW4gcmFuZ2Uobik6CiAgICAgICAgcHJpbnQoY3VycmVudCkKICAgICAgICBuZXh0X25leHQgPSBjdXJyZW50ICsgbmV4dAogICAgICAgIGN1cnJlbnQgPSBuZXh0CiAgICAgICAgbmV4dCA9IG5leHRfbmV4dAo="]];[["python64","Zmlib25hY2NpKDUpCg=="],["python64","Zmlib25hY2NpKDE1KQo="],["python64","Zmlib25hY2NpKDIwKQo="]];316500;7;1;2017-11-21 18:17:19
3;Faktoriál;[["html","Napište funkci <b>factorial(n)</b> vrátí faktoriál <i>n</i> (součin všech čísel od 1 do n). "]];[["python64","ZGVmIGZhY3RvcmlhbChuKToKICAgIHJldHVybiAxCg=="]];[["python64","cHJpbnQoZmFjdG9yaWFsKDUpKQo="]];[["python64","ZGVmIGZhY3RvcmlhbChuKToKICAgIHZhbHVlID0gMQogICAgZm9yIGkgaW4gcmFuZ2UoMSwgbiArIDEpOgogICAgICAgIHZhbHVlICo9IGkKICAgIHJldHVybiB2YWx1ZQo="]];[["python64","cHJpbnQoZmFjdG9yaWFsKDYpKQo="],["python64","cHJpbnQoZmFjdG9yaWFsKDgpKQo="],["python64","cHJpbnQoZmFjdG9yaWFsKDEpKQo="],["python64","cHJpbnQoZmFjdG9yaWFsKDEwKSkK"]];153650;7;1;2017-11-21 18:17:19
4;Abeceda;[["html","Napište funkci <b>alphabet(n)</b>, která vypíše prvních <i>n</i> písmen anglické abecedy. Pokud je <i>n</i> větší jak 26, písmena jsou vypisována opakovaně. "]];[["python64","ZGVmIGFscGhhYmV0KG4pOgogICAgZm9yIGkgaW4gcmFuZ2Uobik6CiAgICAgICAgcHJpbnQoJ0EnKQo="]];[["python64","YWxwaGFiZXQoMzApCg=="]];[["python64","ZGVmIGFscGhhYmV0KG4pOgogICAgZm9yIGkgaW4gcmFuZ2Uobik6CiAgICAgICAgcHJpbnQoY2hyKG9yZCgnQScpK2klMjYpKQogICAgcHJpbnQoKQo="]];[["python64","YWxwaGFiZXQoMTApCg=="],["python64","YWxwaGFiZXQoNDApCg=="],["python64","YWxwaGFiZXQoMSkK"],["python64","YWxwaGFiZXQoNikK"],["python64","YWxwaGFiZXQoODApCg=="]];397950;10;1;2017-11-21 18:17:19
5;Zdvojení znaků;[["html","Napište funkci <b>duplication(text)</b>, která pro zadaný řetězec vrátí řetězec, ve kterém je každé písmeno duplikováno. "]];[["python64","ZGVmIGR1cGxpY2F0aW9uKHRleHQpOgogICAgcmV0dXJuIHRleHQK"]];[["python64","cHJpbnQoZHVwbGljYXRpb24oIlBZVEhPTiIpKQo="]];[["python64","ZGVmIGR1cGxpY2F0aW9uKHRleHQpOgogICAgb3V0cHV0ID0gIiIKICAgIGZvciBjaGFyIGluIHRleHQ6CiAgICAgICAgb3V0cHV0ICs9IGNoYXIgKyBjaGFyCiAgICByZXR1cm4gb3V0cHV0Cg=="]];[["python64","cHJpbnQoZHVwbGljYXRpb24oIkFBIikpCg=="],["python64","cHJpbnQoZHVwbGljYXRpb24oIkFCQ0QiKSkK"],["python64","cHJpbnQoZHVwbGljYXRpb24oImhlbGxvIikpCg=="],["python64","cHJpbnQoZHVwbGljYXRpb24oIkJybm8iKSkK"],["python64","cHJpbnQoZHVwbGljYXRpb24oInh5elhZWiIpKQo="]];179300;3;1;2017-11-21 18:17:19
6;Součin nenulových;[["html","Napište funkci <b>nonzero_product(numbers)</b>, která pro zadaný seznam čísel <i>numbers</i> vrátí součin všech nenulových čísel v seznamu. "]];[["python64","ZGVmIG5vbnplcm9fcHJvZHVjdChudW1iZXJzKToKICAgIHJldHVybiAwCg=="]];[["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFs0LCAwLCAyLCAwLCAwLCAzXSkpCg=="]];[["python64","ZGVmIG5vbnplcm9fcHJvZHVjdChudW1iZXJzKToKICAgIHByb2R1Y3QgPSAxCiAgICBmb3IgbiBpbiBudW1iZXJzOgogICAgICAgIGlmIG4gIT0gMDoKICAgICAgICAgICAgcHJvZHVjdCAqPSBuCiAgICByZXR1cm4gcHJvZHVjdAo="]];[["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFswLCAyLCAzLCAxLCA4LCAzXSkpCg=="],["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFswLCAwLCAxLCAwLCAwXSkpCg=="],["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFswLCAtMiwgLTMsIDAsIC0xLCAtNV0pKQo="],["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFsxLCAyLCAzLCA0LCA1LCA2XSkpCg=="],["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFszLCAzLCAyLCAzLCAzXSkpCg=="]];134150;2;1;2017-11-21 18:17:19
7;Dělitelé;[["html","Napište funkci <b>divisors(n)</b>, která vypíše popořadě všechny přirozená čísla, která dělí <i>n</i>. "]];[["python64","ZGVmIGRpdmlzb3JzKG4pOgogICAgcHJpbnQoMSkK"]];[["python64","ZGl2aXNvcnMoMjQpCg=="]];[["python64","ZGVmIGRpdmlzb3JzKG4pOgogICAgZm9yIGkgaW4gcmFuZ2UoMSwgbiArIDEpOgogICAgICAgIGlmIG4gJSBpID09IDA6CiAgICAgICAgICAgIHByaW50KGkpCiAgICBwcmludCgpCg=="]];[["python64","ZGl2aXNvcnMoNSkK"],["python64","ZGl2aXNvcnMoMzYpCg=="],["python64","ZGl2aXNvcnMoMSkK"],["python64","ZGl2aXNvcnMoMTAwKQo="],["python64","ZGl2aXNvcnMoMTAxKQo="],["python64","ZGl2aXNvcnMoMTAyKQo="],["python64","ZGl2aXNvcnMoNDgpCg=="],["python64","ZGl2aXNvcnMoMjMpCg=="]];97200;1;1;2017-11-21 18:17:19
8;Čtverec;[["html","Napište funkci <b>square(n)</b>, která vykreslí čtverec ze znaků mřížky o velikosti <i>n</i>. "]];[["python64","ZGVmIHNxdWFyZShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIHByaW50KCIjIiwgZW5kPSIgIikKICAgIHByaW50KCkK"]];[["python64","c3F1YXJlKDUpCg=="]];[["python64","ZGVmIHNxdWFyZShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIGZvciBqIGluIHJhbmdlKG4pOgogICAgICAgICAgICBwcmludCgiIyIsIGVuZD0iICIpCiAgICAgICAgcHJpbnQoKQoK"]];[["python64","c3F1YXJlKDMpCg=="],["python64","c3F1YXJlKDYpCg=="],["python64","c3F1YXJlKDEpCg=="],["python64","c3F1YXJlKDcpCg=="],["python64","c3F1YXJlKDIpCg=="]];119900;1;1;2017-11-21 18:17:19
9;Prázdný čtverec;[["html"," Napište funkci <b>empty_square(n)</b>, která vykreslí textový čtverec o velikosti <i>n</i>, který má uprostřed tečky a na kraji mřížky. "]];[["python64","ZGVmIGVtcHR5X3NxdWFyZShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIHByaW50KCIjIiwgZW5kPSIgIikKICAgIHByaW50KCkJCg=="]];[["python64","ZW1wdHlfc3F1YXJlKDUpCg=="]];[["python64","ZGVmIGVtcHR5X3NxdWFyZShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIGZvciBqIGluIHJhbmdlKG4pOgogICAgICAgICAgICBpZiBpID09IDAgb3IgaiA9PSAwIG9yIGkgPT0gbiAtMSBvciBqID09IG4gLTE6CiAgICAgICAgICAgICAgICBwcmludCgiIyIsIGVuZD0iICIpCiAgICAgICAgICAgIGVsc2U6CiAgICAgICAgICAgICAgICBwcmludCgiLiIsIGVuZD0iICIpCiAgICAgICAgcHJpbnQoKQoK"]];[["python64","ZW1wdHlfc3F1YXJlKDYpCg=="],["python64","ZW1wdHlfc3F1YXJlKDEpCg=="],["python64","ZW1wdHlfc3F1YXJlKDQpCg=="],["python64","ZW1wdHlfc3F1YXJlKDIpCg=="],["python64","ZW1wdHlfc3F1YXJlKDcpCg=="]];338575;2;1;2017-11-21 18:17:19
10;Pyramida;[["html","Napište funkci <b>pyramid(n)</b>, která vykreslí textový obrázek pyramidy o výšce <i>n</i>. "]];[["python64","ZGVmIHB5cmFtaWQobik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBwcmludCgiIyIsIGVuZD0iICIpCiAgICBwcmludCgpCQo="]];[["python64","cHlyYW1pZCg1KQo="]];[["python64","ZGVmIHB5cmFtaWQobik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBmb3IgaiBpbiByYW5nZSgyICogbiAtIDEpOgogICAgICAgICAgICBpZiBqID49IG4gLSAxIC0gaSBhbmQgaiA8PSBuIC0gMSArIGk6CiAgICAgICAgICAgICAgICBwcmludCgnIycsIGVuZD0iICIpCiAgICAgICAgICAgIGVsc2U6CiAgICAgICAgICAgICAgICBwcmludCgnICcsIGVuZD0iICIpCiAgICAgICAgcHJpbnQoKQoK"]];[["python64","cHlyYW1pZCg2KQo="],["python64","cHlyYW1pZCgxMCkK"],["python64","cHlyYW1pZCgxKQo="],["python64","cHlyYW1pZCgyKQo="],["python64","cHlyYW1pZCg3KQo="]];536800;4;1;2017-11-21 18:17:19
11;Šachovnice;[["html","Napište funkci <b>chessboard(n)</b>, která vykreslí textovou šachovnici o straně délky <i>n</i>. Políčka šachovnice nechť jsou tvořena znaky '.' a '#'. "]];[["python64","ZGVmIGNoZXNzYm9hcmQobik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBwcmludCgiIyIsIGVuZD0iICIpCiAgICBwcmludCgpCg=="]];[["python64","Y2hlc3Nib2FyZCg4KQo="]];[["python64","ZGVmIGNoZXNzYm9hcmQobik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBmb3IgaiBpbiByYW5nZShuKToKICAgICAgICAgICAgaWYgKGkgKyBqKSAlIDIgPT0gMDoKICAgICAgICAgICAgICAgIHByaW50KCIjIiwgZW5kPSIgIikKICAgICAgICAgICAgZWxzZToKICAgICAgICAgICAgICAgIHByaW50KCIuIiwgZW5kPSIgIikKICAgICAgICBwcmludCgpCg=="]];[["python64","Y2hlc3Nib2FyZCg3KQo="],["python64","Y2hlc3Nib2FyZCg2KQo="],["python64","Y2hlc3Nib2FyZCg1KQo="],["python64","Y2hlc3Nib2FyZCgyKQo="],["python64","Y2hlc3Nib2FyZCg5KQo="],["python64","Y2hlc3Nib2FyZCgxMCkK"]];354425;3;1;2017-11-21 18:17:19
12;Velké X;[["html","Napište funkci <b>cross(n)</b>, která vykreslí ze znaků '#' velké X o velikosti <i>n</i>. "]];[["python64","ZGVmIGJpZ1gobik6CiAgICBwYXNzCg=="]];[["python64","YmlnWCg1KQo="]];[["python64","ZGVmIGJpZ1gobik6CiAgICBmb3IgaSBpbiByYW5nZSgyICogbiAtIDEpOgogICAgICAgIGZvciBqIGluIHJhbmdlKDIgKiBuIC0gMSk6CiAgICAgICAgICAgIGlmIGkgPT0gaiBvciAoMiAqIG4gLSAyKSAtIGkgPT0gajoKICAgICAgICAgICAgICAgIHByaW50KCcjJywgZW5kPSIgIikKICAgICAgICAgICAgZWxzZToKICAgICAgICAgICAgICAgIHByaW50KCcgJywgZW5kPSIgIikKICAgICAgICBwcmludCgpCgo="]];[["python64","YmlnWCg3KQo="],["python64","YmlnWCg2KQo="],["python64","YmlnWCgyKQo="],["python64","YmlnWCgxMCkK"],["python64","YmlnWCg4KQo="],["python64","YmlnWCg0KQo="]];835100;6;1;2017-11-21 18:17:19
13;Průnik řetězců;[["html","Napište funkci <b>string_intersection(left, right)</b>, která pro dva zadané řetězce <i>left</i> a <i>right</i> vypíše písmena, která jsou v obou řetězcích na stejné pozici. "]];[["python64","ZGVmIHN0cmluZ19pbnRlcnNlY3Rpb24obGVmdCwgcmlnaHQpOgogICAgcHJpbnQoKQo="]];[["python64","c3RyaW5nX2ludGVyc2VjdGlvbigiWklSQUZBIiwgIktBUkFGQSIpCnByaW50KCItLSIpCnN0cmluZ19pbnRlcnNlY3Rpb24oIktBUkFURSIsICJLQVJBRkEiKQpwcmludCgiLS0iKQpzdHJpbmdfaW50ZXJzZWN0aW9uKCJBaG9qLCBqYWsgc2UgZG5lc2thIG1hcz8iLCAiTWFtIHNlIGRuZXNrYSBkb2JyZS4iKQo="]];[["python64","ZGVmIHN0cmluZ19pbnRlcnNlY3Rpb24obGVmdCwgcmlnaHQpOgogICAgY29tbW9uX2xlbmd0aCA9IG1pbihsZW4obGVmdCksIGxlbihyaWdodCkpCiAgICBmb3IgaSBpbiByYW5nZShjb21tb25fbGVuZ3RoKToKICAgICAgICBpZiBsZWZ0W2ldID09IHJpZ2h0W2ldOgogICAgICAgICAgICBwcmludChsZWZ0W2ldKQoK"]];[["python64","c3RyaW5nX2ludGVyc2VjdGlvbigiWklSQUZBIiwgIktBUkFGQSIpCg=="],["python64","c3RyaW5nX2ludGVyc2VjdGlvbigiS0FSQVRFIiwgIktBUkFGQSIpCg=="],["python64","c3RyaW5nX2ludGVyc2VjdGlvbigiQUhPSiIsICJBTElDRSIpCg=="],["python64","c3RyaW5nX2ludGVyc2VjdGlvbigiQUJDREUiLCAiWEJYRFgiKQo="],["python64","c3RyaW5nX2ludGVyc2VjdGlvbigiQUJBQkFCQUJBIiwgIkFYQVhBWEEiKQo="],["python64","c3RyaW5nX2ludGVyc2VjdGlvbigiQUJDREVGIiwgIkREREREREREREQiKQo="],["python64","c3RyaW5nX2ludGVyc2VjdGlvbigiQUhPSiIsICJQUkFTRSIpCg=="],["python64","c3RyaW5nX2ludGVyc2VjdGlvbigiQWhvaiwgamFrIHNlIGRuZXNrYSBtYXM/IiwgIk1hbSBzZSBkbmVza2EgZG9icmUuIikK"]];272500;4;1;2017-11-21 18:17:19
14;Palindrom;[["html","Napište funkci <b>palindrom(text)</b>, která otestuje, zda je zadaný řetězec <i>text</i> palindromem (čte se stejně od začátku jako od konce). "]];[["python64","ZGVmIHBhbGluZHJvbSh0ZXh0KToKICAgIHJldHVybiBUcnVlCg=="]];[["python64","cHJpbnQocGFsaW5kcm9tKCJqZWxlbm92aXBpdm9uZWxlaiIpKQpwcmludChwYWxpbmRyb20oInByYXNlIikpCnByaW50KHBhbGluZHJvbSgiYW5uYSIpKQpwcmludChwYWxpbmRyb20oImZyYW50YSIpKQo="]];[["python64","ZGVmIHBhbGluZHJvbSh0ZXh0KToKICAgIGxlbmd0aCA9IGxlbih0ZXh0KQogICAgZm9yIGkgaW4gcmFuZ2UoaW50KGxlbmd0aC8yKSk6CiAgICAgICAgaWYgdGV4dFtpXSAhPSB0ZXh0W2xlbmd0aCAtIDEgLSBpXToKICAgICAgICAgICAgcmV0dXJuIEZhbHNlCiAgICByZXR1cm4gVHJ1ZQoK"]];[["python64","cHJpbnQocGFsaW5kcm9tKCJqZWxlbm92aXBpdm9uZWxlaiIpKQo="],["python64","cHJpbnQocGFsaW5kcm9tKCJwcmFzZSIpKQo="],["python64","cHJpbnQocGFsaW5kcm9tKCJhbm5hIikpCg=="],["python64","cHJpbnQocGFsaW5kcm9tKCJmcmFudGEiKSkK"],["python64","cHJpbnQocGFsaW5kcm9tKCJrYWphayIpKQo="],["python64","cHJpbnQocGFsaW5kcm9tKCJhZnJpa2EiKSkK"],["python64","cHJpbnQocGFsaW5kcm9tKCJsb2wiKSkK"],["python64","cHJpbnQocGFsaW5kcm9tKCJhIikpCg=="],["python64","cHJpbnQocGFsaW5kcm9tKCJnaHdvaHF3b2h3Z2Fwb2hhd29oZ2FzIikpCg=="]];221600;5;1;2017-11-21 18:17:19
15;Každé druhé číslo;[["html","Napište funkci <b>every_second_number(num_list)</b>, která ze zadaného seznamu čísel <i>num_list</i> vypíše každé druhé číslo (počínaje prvním). "]];[["python64","ZGVmIGV2ZXJ5X3NlY29uZF9udW1iZXIobnVtX2xpc3QpOgogICAgcHJpbnQobnVtX2xpc3RbMF0pCg=="]];[["python64","ZXZlcnlfc2Vjb25kX251bWJlcihbMSwgNSwgNCwgMywgMl0pICAgICAgICAgICAgCg=="]];[["python64","ZGVmIGV2ZXJ5X3NlY29uZF9udW1iZXIobnVtX2xpc3QpOgogICAgZm9yIGkgaW4gcmFuZ2UobGVuKG51bV9saXN0KSk6CiAgICAgICAgaWYgaSAlIDIgPT0gMDoKICAgICAgICAgICAgcHJpbnQobnVtX2xpc3RbaV0pCg=="]];[["python64","ZXZlcnlfc2Vjb25kX251bWJlcihbMSwgNSwgNCwgMywgMl0pICAgICAgICAgICAgCg=="],["python64","ZXZlcnlfc2Vjb25kX251bWJlcihbMSwgMiwgMywgNCwgNSwgNiwgN10pICAgICAgICAgICAgCg=="],["python64","ZXZlcnlfc2Vjb25kX251bWJlcihbOCwgNCwgMywgMl0pICAgICAgICAgICAgCg=="],["python64","ZXZlcnlfc2Vjb25kX251bWJlcihbN10pICAgICAgICAgICAgCg=="],["python64","ZXZlcnlfc2Vjb25kX251bWJlcihbXSkgICAgICAgICAgICAK"],["python64","ZXZlcnlfc2Vjb25kX251bWJlcihbOSwgMTIsIDI0MSwgMTIsIDEsIDUsIDQsIDMsIDJdKSAgICAgICAgICAgIAo="]];138600;3;1;2017-11-21 18:17:19
16;Maximální sousedi;[["html","Napište funkci <b>max_pair_sum(num_list)</b>, která pro zadaný seznam kladných čísel <i>num_list</i> vypočítá nejvyšší součet dvou po sobě jdoucích čísel. "]];[["python64","ZGVmIG1heF9wYWlyX3N1bShudW1fbGlzdCk6CiAgICByZXR1cm4gMAo="]];[["python64","cHJpbnQobWF4X3BhaXJfc3VtKFsxLCA4LCA3LCAzLCA1LCAyXSkpCg=="]];[["python64","ZGVmIG1heF9wYWlyX3N1bShudW1fbGlzdCk6CiAgICBtID0gMAogICAgZm9yIGkgaW4gcmFuZ2UobGVuKG51bV9saXN0KS0xKToKICAgICAgICBtID0gbWF4KG0sIG51bV9saXN0W2ldICsgbnVtX2xpc3RbaSsxXSkKICAgIHJldHVybiBtICAgIAo="]];[["python64","cHJpbnQobWF4X3BhaXJfc3VtKFsxLCA4LCA3LCAzLCA1LCAyLCA2XSkpCg=="],["python64","cHJpbnQobWF4X3BhaXJfc3VtKFsxLCAyLCAzLCA0LCA1LCA2LCA3XSkpCg=="],["python64","cHJpbnQobWF4X3BhaXJfc3VtKFsxLCAyLCAzLCA0LCA1LCA2LCA3LCAzLCAyXSkpCg=="],["python64","cHJpbnQobWF4X3BhaXJfc3VtKFsxLCAyLCA0NSwgNCwgNSwgNiwgNywgMywgMl0pKQo="],["python64","cHJpbnQobWF4X3BhaXJfc3VtKFsxLCA3LCAzLCA4LCA1LCA2LCA3LCA0LCAyXSkpCg=="],["python64","cHJpbnQobWF4X3BhaXJfc3VtKFsxLCAyLCAzLCAxLCAxLCAxLCAyLCAxLCAyXSkpCg=="],["python64","cHJpbnQobWF4X3BhaXJfc3VtKFs5LCAyLCAzLCA0LCA3LCAxLCAyLCAzLCA0XSkpCg=="]];262000;7;1;2017-11-21 18:17:19
17;Vyber násobky pěti;[["html","Napište funkci <b>five_multiples(num_list)</b>, která vezme seznam čísel <i>num_list</i> a vrátí seznam těch čísla ze seznamu, která jsou dělitelná pěti (v původním pořadí). "]];[["python64","ZGVmIGZpdmVfbXVsdGlwbGVzKG51bV9saXN0KToKICAgIHJldHVybiBbXQo="]];[["python64","cHJpbnQoZml2ZV9tdWx0aXBsZXMoWzMsIDUsIDI1LCA0LCA3LCA0OSwgMzUsIDEyXSkpCg=="]];[["python64","ZGVmIGZpdmVfbXVsdGlwbGVzKG51bV9saXN0KToKICAgIG91dHB1dCA9IFtdCiAgICBmb3IgbnVtIGluIG51bV9saXN0OgogICAgICAgIGlmIG51bSAlIDUgPT0gMDoKICAgICAgICAgICAgb3V0cHV0LmFwcGVuZChudW0pCiAgICByZXR1cm4gb3V0cHV0Cg=="]];[["python64","cHJpbnQoZml2ZV9tdWx0aXBsZXMoWzMsIDUsIDI1XSkpCg=="],["python64","cHJpbnQoZml2ZV9tdWx0aXBsZXMoWzMsIDQsIDI3LCA0LCA3LCA0OSwgMzYsIDEyXSkpCg=="],["python64","cHJpbnQoZml2ZV9tdWx0aXBsZXMoWzEwLCA1LCAyNSwgMCwgMzVdKSkK"],["python64","cHJpbnQoZml2ZV9tdWx0aXBsZXMoWzM1LCA0NSwgMTI1LCA0LCA3LCA0OSwgMzUsIDEyMF0pKQo="],["python64","cHJpbnQoZml2ZV9tdWx0aXBsZXMoWzUsIDI1LCA0LCA3LCA0OSwgMzUsIDEyLCAzXSkpCg=="],["python64","cHJpbnQoZml2ZV9tdWx0aXBsZXMoWzI1NSwgNCwgNzUsIDQsIDM1LCAxXSkpCg=="],["python64","cHJpbnQoZml2ZV9tdWx0aXBsZXMoWzM1NSwgNSwgMjUsIDQsIDcsIDQ5LCAzNTcsIDEyNV0pKQo="]];127000;1;1;2017-11-21 18:17:19
18;Ciferný součet;[["html","Napište funkci <b>digit_sum(n)</b>, která vrátí ciferný součet čísla <i>n</i>. "]];[["python64","ZGVmIGRpZ2l0X3N1bShuKToKICAgIHJldHVybiAwCg=="]];[["python64","cHJpbnQoZGlnaXRfc3VtKDEyNSkpCnByaW50KGRpZ2l0X3N1bSg1OCkpCnByaW50KGRpZ2l0X3N1bSg0MTU0NTgpKQo="]];[["python64","ZGVmIGRpZ2l0X3N1bShuKTogICAgCiAgICBzID0gMAogICAgd2hpbGUgbiA+IDA6CiAgICAgICAgcyArPSBuICUgMTAKICAgICAgICBuID0gbiAvLyAxMAogICAgcmV0dXJuIHMKCg=="]];[["python64","cHJpbnQoZGlnaXRfc3VtKDEyNSkpCg=="],["python64","cHJpbnQoZGlnaXRfc3VtKDU4KSkK"],["python64","cHJpbnQoZGlnaXRfc3VtKDQxNTQ1OCkpCg=="],["python64","cHJpbnQoZGlnaXRfc3VtKDQxNTMzNDU4KSkK"],["python64","cHJpbnQoZGlnaXRfc3VtKDQpKQo="],["python64","cHJpbnQoZGlnaXRfc3VtKDEwKSkK"],["python64","cHJpbnQoZGlnaXRfc3VtKDEwMCkpCg=="],["python64","cHJpbnQoZGlnaXRfc3VtKDkwMDAwOSkpCg=="]];241600;5;1;2017-11-21 18:17:19
19;Cik-cak;[["html","Napište funkci <b>zigzag(text)</b>, vypíše zadaný text 'cik-cak' na dva řádky s prázdnými místy vyznačenými tečkami (viz ukázkový výstup). "]];[["python64","ZGVmIHppZ3phZyh0ZXh0KToKICAgIHByaW50KHRleHQpCg=="]];[["python64","emlnemFnKCJQQVJEVUJJQ0UiKQo="]];[["python64","ZGVmIHppZ3phZyh0ZXh0KToKICAgIGxpbmUodGV4dCwgMCkKICAgIGxpbmUodGV4dCwgMSkKICAgIApkZWYgbGluZSh0ZXh0LCBwYXJpdGEpOgogICAgZm9yIGkgaW4gcmFuZ2UobGVuKHRleHQpKToKICAgICAgICBpZiBpICUgMiA9PSBwYXJpdGE6CiAgICAgICAgICAgIHByaW50KHRleHRbaV0sIGVuZD0iIikKICAgICAgICBlbHNlOgogICAgICAgICAgICBwcmludCgiLiIsIGVuZD0iIikKICAgIHByaW50KCkK"]];[["python64","emlnemFnKCJCUk5PIikK"],["python64","emlnemFnKCJoZWxsbyIpCg=="],["python64","emlnemFnKCJhYmNkZWZnaGlqa2xtbm9wcXJzdHV2d3h5eiIpCg=="],["python64","emlnemFnKCJhYmxhZ2h3b2h3b2giKQo="],["python64","emlnemFnKCJBR09XT0lIWEFCTkxBSElPR0hBR0hBIikK"],["python64","emlnemFnKCJBR09XT0lIWEFCTkxhZ3NoYW9naGFvcGhnIikK"],["python64","emlnemFnKCJhZ2FnYTU0NDY0ODU0b3BoZyIpCg=="]];485450;9;1;2017-11-21 18:17:19
