id;name;instructions;democode;testcode;solution;tests;medianTime;ordering;visible;created
20;Počet dělitelů;[["html","Napište funkci <b>divisors_count(n)</b>, která pro zadané přirozené číslo <i>n</i> vrátí počet jeho přirozených dělitelů. "]];[["python64","ZGVmIGRpdmlzb3JzX2NvdW50KG4pOgogICAgcmV0dXJuIDAK"]];[["python64","cHJpbnQoZGl2aXNvcnNfY291bnQoMjQpKQo="]];[["python64","ZGVmIGRpdmlzb3JzX2NvdW50KG4pOgogICAgY291bnQgPSAwCiAgICBmb3IgaSBpbiByYW5nZSgxLCBuICsgMSk6CiAgICAgICAgaWYgbiAlIGkgPT0gMDoKICAgICAgICAgICAgY291bnQgKz0gMQogICAgcmV0dXJuIGNvdW50Cg=="]];[["python64","cHJpbnQoZGl2aXNvcnNfY291bnQoNSkpCg=="],["python64","cHJpbnQoZGl2aXNvcnNfY291bnQoMTAyKSkK"],["python64","cHJpbnQoZGl2aXNvcnNfY291bnQoMzYpKQo="],["python64","cHJpbnQoZGl2aXNvcnNfY291bnQoNDgpKQo="],["python64","cHJpbnQoZGl2aXNvcnNfY291bnQoOSkpCg=="],["python64","cHJpbnQoZGl2aXNvcnNfY291bnQoMSkpCg=="],["python64","cHJpbnQoZGl2aXNvcnNfY291bnQoMTIpKQo="]];209625;3;1;2017-11-21 18:17:19
21;Mocniny;[["html","Napište funkci <b>powers(base, n)</b>, která vypíše prvních <i>n</i> mocnin čísla <i>base</i>. "]];[["python64","ZGVmIHBvd2VycyhiYXNlLCBuKToKICAgIHByaW50KGJhc2UpCg=="]];[["python64","cG93ZXJzKDIsIDcpCg=="]];[["python64","ZGVmIHBvd2VycyhiYXNlLCBuKToKICAgIGN1cnJlbnQgPSBiYXNlCiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBwcmludChjdXJyZW50KQogICAgICAgIGN1cnJlbnQgPSBjdXJyZW50ICogYmFzZQogICAgcHJpbnQoKQo="]];[["python64","cG93ZXJzKDIsIDEwKQo="],["python64","cG93ZXJzKDMsIDUpCg=="],["python64","cG93ZXJzKDUsIDMpCg=="],["python64","cG93ZXJzKDcsIDYpCg=="],["python64","cG93ZXJzKDksIDIpCg=="]];152000;2;1;2017-11-23 10:29:05
22;Výpis prvočísel;[["html","Napište funkci <b>print_primes(n)</b>, která vypíše prvních <i>n</i> prvočísel (prvočíslo je přirozené číslo, které je dělitelné pouze jedničkou a sebou samým). "]];[["python64","ZGVmIHByaW50X3ByaW1lcyhuKToKICAgIHByaW50KCkK"]];[["python64","cHJpbnRfcHJpbWVzKDEwKQo="]];[["python64","ZGVmIHByaW50X3ByaW1lcyhuKToKICAgIGsgPSAxCiAgICB3aGlsZSBuID4gMDoKICAgICAgICBpZiBkaXZpc29yc19jb3VudChrKSA9PSAyOgogICAgICAgICAgICBwcmludChrKQogICAgICAgICAgICBuIC09IDEKICAgICAgICBrICs9IDEKCmRlZiBkaXZpc29yc19jb3VudChuKToKICAgIGNvdW50ID0gMAogICAgZm9yIGkgaW4gcmFuZ2UoMSwgbiArIDEpOgogICAgICAgIGlmIG4gJSBpID09IDA6CiAgICAgICAgICAgIGNvdW50ICs9IDEKICAgIHJldHVybiBjb3VudAo="]];[["python64","cHJpbnRfcHJpbWVzKDMwKQo="],["python64","cHJpbnRfcHJpbWVzKDMpCg=="],["python64","cHJpbnRfcHJpbWVzKDYwKQo="],["python64","cHJpbnRfcHJpbWVzKDIwKQo="],["python64","cHJpbnRfcHJpbWVzKDEwMCkK"]];726200;8;1;2017-11-23 10:42:11
23;Největší společný dělitel;[["html","Napište funkci <b>greatest_common_divisor(a, b)</b>, která pro zadaná čísla     <i>a</i>, <i>b</i> vrátí jejich největšího společného dělitele. "]];[["python64","ZGVmIGdyZWF0ZXN0X2NvbW1vbl9kaXZpc29yKGEsIGIpOgogICAgcmV0dXJuIDEK"]];[["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoMjQsIDM2KSkKcHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoNywgMjcpKQpwcmludChncmVhdGVzdF9jb21tb25fZGl2aXNvcig0OCwgNjQpKQpwcmludChncmVhdGVzdF9jb21tb25fZGl2aXNvcig0OCwgNjUpKQo="]];[["python64","ZGVmIGdyZWF0ZXN0X2NvbW1vbl9kaXZpc29yKGEsIGIpOgogICAgd2hpbGUgYToKICAgICAgICBhLCBiID0gYiAlIGEsIGEKICAgIHJldHVybiBiCg=="]];[["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoMjQsIDM2KSkK"],["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoNywgMjgpKQo="],["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoMTIsIDE2KSkK"],["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoNDgsIDY0KSkK"],["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoNDgsIDY1KSkK"],["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoNDgsIDY2KSkK"],["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoMTQ4LCAxNjQpKQo="],["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoMTQ4LCAyNDgpKQo="],["python64","cHJpbnQoZ3JlYXRlc3RfY29tbW9uX2Rpdmlzb3IoNTc0ODUsIDQ0NjUpKQo="]];324025;6;1;2017-11-23 10:51:20
24;Zjednodušení seznamu;[["html","Napište funkci <b>flatten(lists)</b>, která jako argument bere seznam seznamů čísel a vrátí na výstup jednoduchý seznam čísel (viz ukázka)."]];[["python64","ZGVmIGZsYXR0ZW4obGlzdHMpOgogICAgcmV0dXJuIFtdCg=="]];[["python64","cHJpbnQoZmxhdHRlbihbWzEsIDJdLCBbMywgNF1dKSkKcHJpbnQoZmxhdHRlbihbWzAsIDIsIDNdLCBbMSwgMiwgM10sIFs5LCAxMF1dKSkK"]];[["python64","ZGVmIGZsYXR0ZW4obGlzdHMpOgogICAgZmxhdF9saXN0ID0gW10KICAgIGZvciBuZXN0ZWRfbGlzdCBpbiBsaXN0czoKICAgICAgICBmb3IgZWxlbWVudCBpbiBuZXN0ZWRfbGlzdDoKICAgICAgICAgICAgZmxhdF9saXN0LmFwcGVuZChlbGVtZW50KQogICAgcmV0dXJuIGZsYXRfbGlzdAo="]];[["python64","cHJpbnQoZmxhdHRlbihbWzEsIDJdLCBbMywgNF1dKSkK"],["python64","cHJpbnQoZmxhdHRlbihbWzEsIDIsIDNdLCBbNSwgNF1dKSkK"],["python64","cHJpbnQoZmxhdHRlbihbWzAsIDIsIDNdLCBbMSwgMiwgM10sIFs5LCAxMF1dKSkK"],["python64","cHJpbnQoZmxhdHRlbihbWzEsIDIsIDNdLCBbOSwgMTBdXSkpCg=="],["python64","cHJpbnQoZmxhdHRlbihbWzEsIDIsIDNdLCBbNCwgMiwgM10sIFs5LCAxMF1dKSkK"],["python64","cHJpbnQoZmxhdHRlbihbWzEsIDIsIDNdLCBbNCwgMiwgM10sIFs5LCAxMF0sIFsxMDBdXSkpCg=="]];164053;5;0;2017-11-23 10:56:31
25;Počet A;[["html","Napište funkci <b>count_a(text)</b>, která v řetězci <i>text</i> spočítá počet     výskytů písmene 'a' (malé i velké písmeno). "]];[["python64","ZGVmIGNvdW50X2EodGV4dCk6CiAgICByZXR1cm4gMAo="]];[["python64","cHJpbnQoY291bnRfYSgiQWJlY2VkYSIpKQpwcmludChjb3VudF9hKCJzbG9uIikpCnByaW50KGNvdW50X2EoInByYXNlIikpCg=="]];[["python64","ZGVmIGNvdW50X2EodGV4dCk6CiAgICBjb3VudCA9IDAKICAgIGZvciBjaGFyIGluIHRleHQ6CiAgICAgICAgaWYgY2hhci51cHBlcigpID09ICdBJzoKICAgICAgICAgICAgY291bnQgKz0gMQogICAgcmV0dXJuIGNvdW50CiAgICAKCg=="]];[["python64","cHJpbnQoY291bnRfYSgiQWJlY2VkYSIpKQo="],["python64","cHJpbnQoY291bnRfYSgic2xvbmljZSBBbGljZSIpKQo="],["python64","cHJpbnQoY291bnRfYSgicHJhc2UiKSkK"],["python64","cHJpbnQoY291bnRfYSgiQUFBQUFBYWFhYWFhYWFhYWFhYWEiKSkK"],["python64","cHJpbnQoY291bnRfYSgiYWJjZGVmIikpCg=="],["python64","cHJpbnQoY291bnRfYSgieGF4QWFYQUF4YSIpKQo="],["python64","cHJpbnQoY291bnRfYSgia3JhYmljZSIpKQo="]];176750;2;1;2017-11-23 14:25:42
26;Cenzura;[["html","Napište funkci <b>censorship(text)</b>, která vrátí zadaný řetězec <i>text</i>, ve kterém nahradí každé druhé písmeno za X. "]];[["python64","ZGVmIGNlbnNvcnNoaXAodGV4dCk6CiAgICByZXR1cm4gdGV4dAo="]];[["python64","cHJpbnQoY2Vuc29yc2hpcCgiVGFqbmEgenByYXZhIikpCg=="]];[["python64","ZGVmIGNlbnNvcnNoaXAodGV4dCk6CiAgICBvdXRwdXQgPSAiIgogICAgaSA9IDEKICAgIGZvciBjaGFyIGluIHRleHQ6CiAgICAgICAgaWYgaSAlIDIgPT0gMDoKICAgICAgICAgICAgb3V0cHV0ICs9ICJYIgogICAgICAgIGVsc2U6CiAgICAgICAgICAgIG91dHB1dCArPSBjaGFyCiAgICAgICAgaSArPSAxCiAgICByZXR1cm4gb3V0cHV0CiAgICAKCg=="]];[["python64","cHJpbnQoY2Vuc29yc2hpcCgiVGFqbmEgenByYXZhIikpCg=="],["python64","cHJpbnQoY2Vuc29yc2hpcCgiQWJlY2VkYSIpKQo="],["python64","cHJpbnQoY2Vuc29yc2hpcCgiamVkbmEgZHZhIHRyaSBjdHlyaSBwZXQiKSkK"],["python64","cHJpbnQoY2Vuc29yc2hpcCgia29sb2JlemthIikpCg=="],["python64","cHJpbnQoY2Vuc29yc2hpcCgia29sbyIpKQo="],["python64","cHJpbnQoY2Vuc29yc2hpcCgicGVzIikpCg=="]];327800;8;1;2017-11-23 14:29:49
27;První písmena;[["html","Napište funkci <b>first_letters(text)</b>, která vypíše první písmena slov ze zadaného řetězce <i>text</i>. "]];[["python64","ZGVmIGZpcnN0X2xldHRlcnModGV4dCk6CiAgICBwcmludCgpCg=="]];[["python64","Zmlyc3RfbGV0dGVycygiamVkbmEgZHZhIHRyaSBjdHlyaSBwZXQiKQpmaXJzdF9sZXR0ZXJzKCJwb3pvciBuYSAgIHZpY2UgIG1lemVyIikK"]];[["python64","ZGVmIGZpcnN0X2xldHRlcnModGV4dCk6CiAgICBmb3Igd29yZCBpbiB0ZXh0LnNwbGl0KCk6CiAgICAgICAgcHJpbnQod29yZFswXSwgZW5kPSIgIikKICAgIHByaW50KCkK"]];[["python64","Zmlyc3RfbGV0dGVycygiamVkbmEgZHZhIHRyaSBjdHlyaSBwZXQiKQo="],["python64","Zmlyc3RfbGV0dGVycygicG96b3IgbmEgICB2aWNlICBtZXplciIpCg=="],["python64","Zmlyc3RfbGV0dGVycygiQnJubyIpCg=="],["python64","Zmlyc3RfbGV0dGVycygiQnJubywgUHJhaGEsIE9zdHJhdmEsIE9sb21vdWMiKQo="],["python64","Zmlyc3RfbGV0dGVycygiSSBoYXZlIGEgZHJlYW0uIikK"],["python64","Zmlyc3RfbGV0dGVycygiTmVzbXlzbHk6IGFiYyBkZWYgICBzZ2dhbyAgZ3NoICAgYWdoYWciKQo="]];276175;6;1;2017-11-23 14:37:34
28;Zipování řetězců;[["html","Napište funkci <b>string_zip(text1, text2)</b>, která vezme dva řetězce <i>text1</i> a <i>text2</i> a vrátí jejich zazipovanou podobu (písmena z obou řetězců na střídačku). "]];[["python64","ZGVmIHN0cmluZ196aXAodGV4dDEsIHRleHQyKToKICAgIHJldHVybiAiIgo="]];[["python64","cHJpbnQoc3RyaW5nX3ppcCgib3ZjZSIsICJrb3phIikpCnByaW50KHN0cmluZ196aXAoIlBhcmR1YmljZSIsICJCcm5vIikpCg=="]];[["python64","ZGVmIHN0cmluZ196aXAodGV4dDEsIHRleHQyKToKICAgIHJlc3VsdCA9ICIiCiAgICBmb3IgaSBpbiByYW5nZShtYXgobGVuKHRleHQxKSwgbGVuKHRleHQyKSkpOgogICAgICAgIGlmIGkgPCBsZW4odGV4dDEpOgogICAgICAgICAgICByZXN1bHQgKz0gdGV4dDFbaV0KICAgICAgICBpZiBpIDwgbGVuKHRleHQyKToKICAgICAgICAgICAgcmVzdWx0ICs9IHRleHQyW2ldCiAgICByZXR1cm4ocmVzdWx0KSAgICAK"]];[["python64","cHJpbnQoc3RyaW5nX3ppcCgib3ZjZSIsICJrb3phIikpCg=="],["python64","cHJpbnQoc3RyaW5nX3ppcCgiUGFyZHViaWNlIiwgIkJybm8iKSkK"],["python64","cHJpbnQoc3RyaW5nX3ppcCgiamVkbmEgZHZlIiwgInRyaSBjdHlyaSBwZXQiKSkK"],["python64","cHJpbnQoc3RyaW5nX3ppcCgiYWJjZGVmIiwgInh5eiIpKQo="],["python64","cHJpbnQoc3RyaW5nX3ppcCgiZ2E7aG9sYW9paGd3IiwgIjMyNjRnbGdvMjNuZyIpKQo="],["python64","cHJpbnQoc3RyaW5nX3ppcCgicHJhc2UiLCAidmVsYmxvdWQiKSkK"]];649450;11;1;2017-11-23 14:47:31
29;Unikátní prvky;[["html","Napište funkci <b>unique(mylist)</b>, která vrátí seznam obsahující každý prvek ze seznamu <i>mylist</i> právě jedenkrát (v pořadí prvních výskytů v původním seznamu). "]];[["python64","ZGVmIHVuaXF1ZShteWxpc3QpOgogICAgcmV0dXJuIG15bGlzdAo="]];[["python64","cHJpbnQodW5pcXVlKFsxLCAyLCAzLCAyLCAxXSkpCnByaW50KHVuaXF1ZShbMywgNywgNSwgMywgMSwgMiwgMywgMSwgN10pKQo="]];[["python64","ZGVmIHVuaXF1ZShteWxpc3QpOgogICAgcmVzdWx0ID0gW10KICAgIGZvciBpIGluIHJhbmdlKGxlbihteWxpc3QpKToKICAgICAgICBpZiBteWxpc3RbaV0gbm90IGluIHJlc3VsdDoKICAgICAgICAgICAgcmVzdWx0LmFwcGVuZChteWxpc3RbaV0pCiAgICByZXR1cm4gcmVzdWx0Cg=="]];[["python64","cHJpbnQodW5pcXVlKFsxLCAyLCAzLCAyLCAxXSkpCg=="],["python64","cHJpbnQodW5pcXVlKFszLCA3LCA1LCAzLCAxLCAyLCAzLCAxLCA3XSkpCg=="],["python64","cHJpbnQodW5pcXVlKFsxLCAyLCAzLCAxLCA3LCA3LCA3LCA3XSkpCg=="],["python64","cHJpbnQodW5pcXVlKFszLCA3LCA2NjUsIDMsIDEsIDIsIDMsIDgsIDddKSkK"],["python64","cHJpbnQodW5pcXVlKFszLCAzNywgNSwgMzcsIDEsIDIsIDM3LCAxLCA3XSkpCg=="],["python64","cHJpbnQodW5pcXVlKFsxXSkpCg=="],["python64","cHJpbnQodW5pcXVlKFsxLCAyLCAzXSkpCg=="],["python64","cHJpbnQodW5pcXVlKFtdKSkK"],["python64","cHJpbnQodW5pcXVlKFszLCA3LCA1LCAzLCAxLCAyLCAzLCAxLCA4LCA4LCA4LCA4LCA5LCA3XSkpCg=="]];142075;4;1;2017-11-23 14:59:20
30;Nejčastější prvek;[["html","Napište funkci <b>most_common(mylist)</b>, která najde nejčastější prvek v seznamu čísel. Pokud je nejčastějších prvků více, vypíše ten nejmenší z nich. Můžete předpokládat, že seznam obsahuje alespoň jedno číslo. "]];[["python64","ZGVmIG1vc3RfY29tbW9uKG15bGlzdCk6CiAgICByZXR1cm4gMAo="]];[["python64","cHJpbnQobW9zdF9jb21tb24oWzMsIDcsIDUsIDMsIDEsIDIsIDMsIDEsIDddKSkKcHJpbnQobW9zdF9jb21tb24oWzMsIDcsIDFdKSkK"]];[["python64","ZGVmIG1vc3RfY29tbW9uKG15bGlzdCk6ICAgIAogICAgbXlsaXN0ID0gc29ydGVkKG15bGlzdCkKICAgIG1heF92YWx1ZSwgbWF4X2NvdW50ID0gTm9uZSwgMAogICAgY3VycmVudF92YWx1ZSwgY3VycmVudF9jb3VudCA9IE5vbmUsIDAKICAgIGZvciB2YWx1ZSBpbiBteWxpc3Q6CiAgICAgICAgaWYgdmFsdWUgPT0gY3VycmVudF92YWx1ZToKICAgICAgICAgICAgY3VycmVudF9jb3VudCArPSAxCiAgICAgICAgZWxzZToKICAgICAgICAgICAgY3VycmVudF92YWx1ZSA9IHZhbHVlCiAgICAgICAgICAgIGN1cnJlbnRfY291bnQgPSAxCiAgICAgICAgaWYgY3VycmVudF9jb3VudCA+IG1heF9jb3VudDoKICAgICAgICAgICAgbWF4X3ZhbHVlID0gY3VycmVudF92YWx1ZQogICAgICAgICAgICBtYXhfY291bnQgPSBjdXJyZW50X2NvdW50CiAgICByZXR1cm4gbWF4X3ZhbHVlCg=="]];[["python64","cHJpbnQobW9zdF9jb21tb24oWzMsIDcsIDUsIDMsIDEsIDIsIDMsIDEsIDddKSkK"],["python64","cHJpbnQobW9zdF9jb21tb24oWzMsIDcsIDFdKSkK"],["python64","cHJpbnQobW9zdF9jb21tb24oWzMsIDcsIDcsIDMsIDcsIDIsIDcsIDEsIDddKSkK"],["python64","cHJpbnQobW9zdF9jb21tb24oWzMsIDcsIDQsIDQsIDQsIDQsIDQsIDEsIDddKSkK"],["python64","cHJpbnQobW9zdF9jb21tb24oWzNdKSkK"],["python64","cHJpbnQobW9zdF9jb21tb24oWzUsIDUsIDUsIDIsIDVdKSkK"],["python64","cHJpbnQobW9zdF9jb21tb24oWzMsIDcsIDUsIDMsIDEsIDIsIDMsIDEsIDcsIDEsIDEsIDFdKSkK"]];717900;10;1;2017-11-23 15:50:46
31;Nejdelší slovo v seznamu;[["html","Napište funkci <b>find_longest_word(words_list)</b>, která vrátí nejdelší slovo ze zadaného seznamu slov <i>words_list</i>. Pokud je nejdelších slov více, vrátí to z nich, které je v seznamu uvedeno jako první. "]];[["python64","ZGVmIGZpbmRfbG9uZ2VzdF93b3JkKHdvcmRzX2xpc3QpOgogICAgcmV0dXJuICIiCg=="]];[["python64","cHJpbnQoZmluZF9sb25nZXN0X3dvcmQoWyJzbG9uIiwgInByYXNlIiwgImtvemEiLCAicGVzIiwgImtyYXZhIl0pKQo="]];[["python64","ZGVmIGZpbmRfbG9uZ2VzdF93b3JkKHdvcmRzX2xpc3QpOgogICAgbG9uZ2VzdCA9ICIiCiAgICBmb3IgdyBpbiB3b3Jkc19saXN0OgogICAgICAgIGlmIGxlbih3KSA+IGxlbihsb25nZXN0KToKICAgICAgICAgICAgbG9uZ2VzdCA9IHcKICAgIHJldHVybiBsb25nZXN0IAo="]];[["python64","cHJpbnQoZmluZF9sb25nZXN0X3dvcmQoWyJzbG9uIiwgInByYXNlIiwgImtvemEiLCAicGVzIiwgImtyYXZhIl0pKQo="],["python64","cHJpbnQoZmluZF9sb25nZXN0X3dvcmQoWyJzbG9uIiwgInByYXNlIiwgInZlbGJsb3VkIiwgInBlcyIsICJrcmF2YSJdKSkK"],["python64","cHJpbnQoZmluZF9sb25nZXN0X3dvcmQoWyJzbG9uIl0pKQo="],["python64","cHJpbnQoZmluZF9sb25nZXN0X3dvcmQoWyJrb3NhdGthIiwgInByYXNlIiwgImtvemEiLCAicGVzIiwgImtyYXZhIl0pKQo="],["python64","cHJpbnQoZmluZF9sb25nZXN0X3dvcmQoWyJvdmNlIiwgInNsb24iLCAia296YSIsICJwZXMiXSkpCg=="],["python64","cHJpbnQoZmluZF9sb25nZXN0X3dvcmQoWyJzbG9uIiwgImtvemEiLCAicGVzIiwgIm92Y2UiXSkpCg=="],["python64","cHJpbnQoZmluZF9sb25nZXN0X3dvcmQoWyJhYmMiLCAienp6enp6eiIsICJzc3NzIiwgImVlZWRlZGVkZCIsICJ4IiwgInoiLCAiZGZhIl0pKQo="],["python64","cHJpbnQoZmluZF9sb25nZXN0X3dvcmQoWyJrb3phIiwgInBlcyIsICJvdmNlIiwgInNsb24iXSkpCg=="]];185450;6;1;2017-11-23 16:00:51
32;Blízko padesátky;[["html","Napište funkci <b>near_fifty(n)</b>, která rozhodne, zda zadané číslo <i>n</i> se nachází 'blízko' čísla 50 nebo 150 (je maximálně o 10 větší nebo menší)."]];[["python64","ZGVmIG5lYXJfZmlmdHkobik6CiAgICByZXR1cm4gRmFsc2UK"]];[["python64","cHJpbnQobmVhcl9maWZ0eSg0OCkpCnByaW50KG5lYXJfZmlmdHkoNjgpKQpwcmludChuZWFyX2ZpZnR5KDEyMCkpCnByaW50KG5lYXJfZmlmdHkoMTYwKSkK"]];[["python64","ZGVmIG5lYXJfZmlmdHkobik6CiAgICByZXR1cm4gYWJzKG4tNTApIDw9IDEwIG9yIGFicyhuLTE1MCkgPD0gMTAK"]];[["python64","cHJpbnQobmVhcl9maWZ0eSg1OCkpCg=="],["python64","cHJpbnQobmVhcl9maWZ0eSgxNjgpKQo="],["python64","cHJpbnQobmVhcl9maWZ0eSgyMCkpCg=="],["python64","cHJpbnQobmVhcl9maWZ0eSg0MCkpCg=="],["python64","cHJpbnQobmVhcl9maWZ0eSgxNTMpKQo="],["python64","cHJpbnQobmVhcl9maWZ0eSgyNTApKQo="]];222200;7;1;2017-11-24 12:45:20
33;Pokuta;[["html","Policista potřebuje pomoct s udělováním pokut. Zašel do baru a zjistil věk (<i>age</i>) občana a to, zda pije pivo (<i>beer</i>). Napište funkci <b>impose_fine(age, beer)</b>, která vrátí True v případě, že občan je nezletilý a pije pivo. "]];[["python64","ZGVmIGltcG9zZV9maW5lKGFnZSwgYmVlcik6CiAgICByZXR1cm4gRmFsc2UK"]];[["python64","cHJpbnQoaW1wb3NlX2ZpbmUoMjAsIFRydWUpKQpwcmludChpbXBvc2VfZmluZSgxNSwgRmFsc2UpKQpwcmludChpbXBvc2VfZmluZSgxNywgVHJ1ZSkpCnByaW50KGltcG9zZV9maW5lKDU3LCBUcnVlKSkK"]];[["python64","ZGVmIGltcG9zZV9maW5lKGFnZSwgYmVlcik6CiAgICByZXR1cm4gYWdlIDwgMTggYW5kIGJlZXIK"]];[["python64","cHJpbnQoaW1wb3NlX2ZpbmUoMjEsIFRydWUpKQo="],["python64","cHJpbnQoaW1wb3NlX2ZpbmUoMTYsIEZhbHNlKSkK"],["python64","cHJpbnQoaW1wb3NlX2ZpbmUoMTQsIFRydWUpKQo="],["python64","cHJpbnQoaW1wb3NlX2ZpbmUoNTYsIFRydWUpKQo="],["python64","cHJpbnQoaW1wb3NlX2ZpbmUoMTYsIEZhbHNlKSkK"],["python64","cHJpbnQoaW1wb3NlX2ZpbmUoMTYsIFRydWUpKQo="]];140500;3;1;2017-11-24 12:53:29
34;Násobky;[["html","Napište funkci <b>multiples(n)</b>, která vypíše informaci o násobcích čísla <i>n</i> podle uvedené ukázky."]];[["python64","ZGVmIG11bHRpcGxlcyhuKToKICAgIHByaW50KCJEdm9qbmFzb2JlayIsIG4pCg=="]];[["python64","bXVsdGlwbGVzKDcpCg=="]];[["python64","ZGVmIG11bHRpcGxlcyhuKToKICAgIHByaW50KCJEdm9qbmFzb2JlayIsIDIqbikKICAgIHByaW50KCJUcm9qbmFzb2JlayIsIDMqbikKICAgIHByaW50KCJEZXNldGluYXNvYmVrIiwgMTAqbikgIAo="]];[["python64","bXVsdGlwbGVzKDUpCg=="],["python64","bXVsdGlwbGVzKDEwKQo="],["python64","bXVsdGlwbGVzKDMpCg=="],["python64","bXVsdGlwbGVzKDQyKQo="]];123475;1;1;2017-11-24 13:01:46
35;Rostoucí posloupnosti;[["html","Upravte funkci <b>sequences(n)</b>, aby vypisovala postupně se prodlužující posloupnosti prvních <i>n</i> čísel (viz úkázkový výstup). "]];[["python64","ZGVmIHNlcXVlbmNlcyhuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIGZvciBqIGluIHJhbmdlKGkrMSk6CiAgICAgICAgICAgIHByaW50KGksIGVuZD0iICIpCiAgICAgICAgcHJpbnQoKQo="]];[["python64","c2VxdWVuY2VzKDgpCg=="]];[["python64","ZGVmIHNlcXVlbmNlcyhuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIGZvciBqIGluIHJhbmdlKGkrMSk6CiAgICAgICAgICAgIHByaW50KGorMSwgZW5kPSIgIikKICAgICAgICBwcmludCgpCg=="]];[["python64","c2VxdWVuY2VzKDUpCg=="],["python64","c2VxdWVuY2VzKDEwKQo="],["python64","c2VxdWVuY2VzKDMpCg=="],["python64","c2VxdWVuY2VzKDcpCg=="],["python64","c2VxdWVuY2VzKDkpCg=="]];122625;3;1;2017-11-29 13:51:50
